loc_id,loc_label,loc_type,loc_direction,lat,lon,proxy_loc_id,seg_id,day,zone,full,half,10k,elite,open,buffer,interval,fpf_count,awp_count,yssr_count,vol_count,caf_count,sja_count,fdsa_count,ofc_count,notes
94,Water Stop: Devon Lumber,water,Both directions,45.959884,-66.618586,,K1,sun,6,y,y,n,n,n,10,5,0,0,0,0,0,0,8,0,Full and Half runners. First runner will be Half. Last will be Marathoner.
95,Water Stop: Finish Line,water,Uni Direction (Marathoner Loop),45.954291,-66.640752,,"""M1,M2""",sun,7,y,y,y,n,n,10,5,0,0,0,0,0,0,8,0,All runners. First runner will be 10K. Last will be Marathoner.
96,Queen Square (Finish),aid,Uni Direction (Finish),45.954231,-66.640798,,"""M1,M2""",sun,7,y,y,y,n,n,10,5,0,0,0,0,0,3,0,0,SJA First Aid (Finish - All Runners)
97,Northside Trail at Edgewood,aid,Both directions,45.985198,-66.664457,,"""D1,D2""",sun,2,y,y,y,n,n,10,5,0,0,0,0,0,3,0,0,SJA First Aid (Full)
98,Station Rd at Barker St,aid,Both directions,45.959344,-66.619594,,"""F1,K1""",sun,7,y,y,y,n,n,10,5,0,0,0,0,0,3,0,0,SJA First Aid (All Runners)
99,Bridge at Mill St,aid,Both directions,45.979519,-66.59192,,"""I1,J1,J4,J5""",sun,4,y,y,n,n,n,10,5,0,0,0,0,0,3,0,0,SJA First Aid (Full/Half)
100,Regent / Queen,course,Uni Direction from PSAB heading west on Queen,45.961152,-66.638708,,"""N1,N2,O1,O2""",sat,8,n,n,n,y,y,10,5,1,0,4,0,0,0,0,0,Westbound on Queen
101,Carleton at Queen,course,Uni - west on Queen,45.96209,-66.640924,,"""N1,N2,O1,O2""",sat,8,n,n,n,y,y,10,5,0,0,0,2,0,0,0,0,Southbound from Library / Garrison
102,Carleton at King,traffic,N/A - Traffic Countrol,45.96119,-66.64169,101,,sat,8,n,n,n,y,y,10,5,1,0,1,0,0,0,0,0,Northbound to Queen
103,Wilmot Alley at King,course,Uni - west on Queen,45.961597,-66.642755,,"""N1,N2,O1,O2""",sat,8,n,n,n,y,y,10,5,0,0,0,1,0,0,0,0,Northbound to Queen
104,York at Queen,course,Uni - west on Queen,45.963062,-66.643097,,"""N1,N2,N3,O1,O2,O3""",sat,8,n,n,n,y,y,10,5,0,0,0,2,0,0,0,0,Southbound to King
105,York at King,traffic,N/A - Traffic Countrol,45.962135,-66.643915,104,,sat,8,n,n,n,y,y,10,5,1,0,1,0,0,0,0,0,Northbound to Queen
106,Campbell at York,course,Runners heading north on York to finish,45.963779,-66.64262,,"""N3,O3""",sat,8,n,n,n,y,y,10,5,0,0,2,0,0,0,0,0,Eastbound to York
107,Queen at Canabis NB,course,Uni - west on Queen,45.963254,-66.643762,,"""N1,N2,O1,O2""",sat,8,n,n,n,y,y,10,5,0,0,0,1,0,0,0,0,Traffic exiting  alleys
108,Westmorland at King,traffic,N/A - Traffic Countrol,45.963083,-66.646123,109,,sat,8,n,n,n,y,y,10,5,1,0,1,0,0,0,0,0,Northbound to Queen
109,Westmorland at Queen,course,Uni - west on Queen,45.963989,-66.645371,,"""N1,N2,O1,O2""",sat,8,n,n,n,y,y,10,5,0,0,2,0,0,0,0,0,Southbound from WSB
